"ID","METHOD_CLASS"
"229l","x-ray"
"3rbx","x-ray"
"3mne","x-ray"
"1odo","x-ray"
"5hm1","x-ray"
"3sqz","x-ray"
"4qxe","x-ray"
"3mcl","x-ray"
"3h4t","x-ray"
"7etu","x-ray"
"1tvv","x-ray"
"2pf6","x-ray"
"6di0","x-ray"
"6qib","x-ray"
"3lox","x-ray"
"1bhe","x-ray"
"2hkz","x-ray"
"5dij","x-ray"
"2d7q","nmr"
"6go2","x-ray"
"3qj0","x-ray"
"6w81","x-ray"
"5imf","x-ray"
"6bgl","em"
"2lm2","nmr"
"1xv4","nmr"
"6j51","em"
"4blw","x-ray"
"1z7c","x-ray"
"3t7f","x-ray"
"2hl0","x-ray"
"3tq8","x-ray"
"6nco","x-ray"
"3flb","x-ray"
"2mqp","nmr"
"3t1y","x-ray"
"5eb2","x-ray"
"7vjv","x-ray"
"5uo5","x-ray"
"4u0l","x-ray"
"6cnh","x-ray"
"2nwj","x-ray"
"6lpp","x-ray"
"3kkl","x-ray"
"2rnq","nmr"
"7oke","x-ray"
"5fry","x-ray"
"1jqg","x-ray"
"3uzw","x-ray"
"7byj","x-ray"
"4pr0","x-ray"
"2jkp","x-ray"
"6n58","em"
"3qke","x-ray"
"7rgk","x-ray"
"4h9y","x-ray"
"3w8k","x-ray"
"5hli","x-ray"
"5z5t","x-ray"
"7cqd","x-ray"
"4nvt","x-ray"
"5ehx","x-ray"
"7rbr","x-ray"
"3tak","x-ray"
"1kll","x-ray"
"1tyr","x-ray"
"1lw4","x-ray"
"3gd3","x-ray"
"2al4","x-ray"
"3ald","x-ray"
"4irk","x-ray"
"3rxh","x-ray"
"6k74","x-ray"
"1ry1","em"
"7rh9","em"
"5vky","x-ray"
"7n50","x-ray"
"7bkg","x-ray"
"3gsp","x-ray"
"2a83","x-ray"
"6ilw","x-ray"
"5nfn","x-ray"
"3dvr","x-ray"
"1ntd","x-ray"
"3ov7","x-ray"
"3qi4","x-ray"
"2jj7","x-ray"
"5enh","x-ray"
"6q01","x-ray"
"6azk","x-ray"
"6f1p","x-ray"
"3ql9","x-ray"
"7eln","em"
"6q2r","em"
"1js6","x-ray"
"3wni","x-ray"
"5bca","x-ray"
"3fbf","x-ray"
"5xz0","x-ray"
"1zp8","x-ray"
"4new","x-ray"
"3wwc","x-ray"
"2ipc","x-ray"
"2uz4","x-ray"
"7kad","x-ray"
"6e6c","x-ray"
"5exn","x-ray"
"1eqr","x-ray"
"4to3","x-ray"
"1kft","nmr"
"1rwv","x-ray"
"7bos","x-ray"
"5z0i","x-ray"
"3cc9","x-ray"
"7o8k","x-ray"
"6pxq","x-ray"
"3b6z","x-ray"
"4bu4","x-ray"
"1elt","x-ray"
"5xd6","x-ray"
"2ol5","x-ray"
"6nfx","x-ray"
"2w6x","x-ray"
"2mip","x-ray"
"2zot","x-ray"
"4bux","x-ray"
"6b6b","x-ray"
"3eoq","x-ray"
"6uk5","x-ray"
"7x7g","x-ray"
"2ge8","x-ray"
"6ppa","x-ray"
"5ttw","x-ray"
"5kqe","nmr"
"4zg9","x-ray"
"1y4r","x-ray"
"6udb","x-ray"
"1f96","nmr"
"3mzh","x-ray"
"6tea","em"
"1cfp","nmr"
"3bc3","x-ray"
"5pag","x-ray"
"6cxg","x-ray"
"4h9f","x-ray"
"4ysq","x-ray"
"4chk","x-ray"
"4ecv","x-ray"
"2fba","x-ray"
"5zc7","x-ray"
"1tfp","x-ray"
"2olv","x-ray"
"1psw","x-ray"
"6p4i","x-ray"
"1iur","nmr"
"7d5k","em"
"6hhw","x-ray"
"1jo7","nmr"
"6oby","x-ray"
"1cza","x-ray"
"6vtb","x-ray"
"3wqu","x-ray"
"3vog","x-ray"
"2a8y","x-ray"
"5xc1","x-ray"
"3ttv","x-ray"
"6gqu","x-ray"
