SUBASSEMBLY_ID,SUPERASSEMBLY_ID
PDB-CPX-100067,PDB-CPX-100068
PDB-CPX-100075,PDB-CPX-100074
PDB-CPX-100082,PDB-CPX-100086
PDB-CPX-100087,PDB-CPX-100088
PDB-CPX-100103,PDB-CPX-100101
PDB-CPX-100105,PDB-CPX-100104
PDB-CPX-100106,PDB-CPX-100104
PDB-CPX-100106,PDB-CPX-100105
PDB-CPX-100177,PDB-CPX-100178
PDB-CPX-100190,PDB-CPX-100191
PDB-CPX-100209,PDB-CPX-100210
PDB-CPX-100209,PDB-CPX-100211
PDB-CPX-100209,PDB-CPX-100212
PDB-CPX-100209,PDB-CPX-100213
PDB-CPX-100209,PDB-CPX-100214
PDB-CPX-100236,PDB-CPX-100237
PDB-CPX-100363,PDB-CPX-100364
PDB-CPX-100369,PDB-CPX-100367
PDB-CPX-100369,PDB-CPX-100368
PDB-CPX-100448,PDB-CPX-100449
PDB-CPX-100448,PDB-CPX-100450
PDB-CPX-100450,PDB-CPX-100449
PDB-CPX-100457,PDB-CPX-100458
PDB-CPX-100457,PDB-CPX-100459
PDB-CPX-100461,PDB-CPX-100460
PDB-CPX-100523,PDB-CPX-100522
PDB-CPX-100563,PDB-CPX-100564
PDB-CPX-100570,PDB-CPX-100571
PDB-CPX-100587,PDB-CPX-100586
PDB-CPX-100605,PDB-CPX-100604
PDB-CPX-100629,PDB-CPX-100627
PDB-CPX-100635,PDB-CPX-100633
PDB-CPX-100635,PDB-CPX-100634
PDB-CPX-100636,PDB-CPX-100633
PDB-CPX-100636,PDB-CPX-100634
PDB-CPX-100636,PDB-CPX-100635
PDB-CPX-100643,PDB-CPX-100641
PDB-CPX-100688,PDB-CPX-100682
PDB-CPX-100688,PDB-CPX-100683
PDB-CPX-100688,PDB-CPX-100684
PDB-CPX-100688,PDB-CPX-100685
PDB-CPX-100688,PDB-CPX-100686
PDB-CPX-100688,PDB-CPX-100687
PDB-CPX-100690,PDB-CPX-100682
PDB-CPX-100690,PDB-CPX-100683
PDB-CPX-100690,PDB-CPX-100684
PDB-CPX-100690,PDB-CPX-100685
PDB-CPX-100690,PDB-CPX-100686
PDB-CPX-100690,PDB-CPX-100687
PDB-CPX-100690,PDB-CPX-100688
PDB-CPX-100692,PDB-CPX-100682
PDB-CPX-100692,PDB-CPX-100683
PDB-CPX-100692,PDB-CPX-100684
PDB-CPX-100692,PDB-CPX-100685
PDB-CPX-100692,PDB-CPX-100686
PDB-CPX-100692,PDB-CPX-100687
PDB-CPX-100692,PDB-CPX-100688
PDB-CPX-100692,PDB-CPX-100689
PDB-CPX-100692,PDB-CPX-100690
PDB-CPX-100692,PDB-CPX-100691
PDB-CPX-100720,PDB-CPX-100721
PDB-CPX-100756,PDB-CPX-100755
PDB-CPX-100760,PDB-CPX-100761
PDB-CPX-100870,PDB-CPX-100871
PDB-CPX-100924,PDB-CPX-100925
PDB-CPX-100928,PDB-CPX-100927
PDB-CPX-100962,PDB-CPX-100963
PDB-CPX-100983,PDB-CPX-100984
PDB-CPX-100983,PDB-CPX-100985
PDB-CPX-100997,PDB-CPX-100996
PDB-CPX-100999,PDB-CPX-100996
PDB-CPX-100999,PDB-CPX-100997
PDB-CPX-101000,PDB-CPX-100996
PDB-CPX-101000,PDB-CPX-100997
PDB-CPX-101000,PDB-CPX-100999
PDB-CPX-101005,PDB-CPX-100996
PDB-CPX-101006,PDB-CPX-100998
PDB-CPX-101007,PDB-CPX-100996
PDB-CPX-101007,PDB-CPX-100997
PDB-CPX-101007,PDB-CPX-100998
PDB-CPX-101007,PDB-CPX-100999
PDB-CPX-101099,PDB-CPX-101087
PDB-CPX-101099,PDB-CPX-101094
PDB-CPX-101099,PDB-CPX-101095
PDB-CPX-101099,PDB-CPX-101096
PDB-CPX-101143,PDB-CPX-101142
PDB-CPX-101173,PDB-CPX-101174
PDB-CPX-101173,PDB-CPX-101175
PDB-CPX-101262,PDB-CPX-101263
PDB-CPX-101281,PDB-CPX-101280
PDB-CPX-101314,PDB-CPX-101315
PDB-CPX-101361,PDB-CPX-101360
PDB-CPX-101362,PDB-CPX-101363
PDB-CPX-101364,PDB-CPX-101363
PDB-CPX-101384,PDB-CPX-101385
PDB-CPX-101400,PDB-CPX-101396
PDB-CPX-101400,PDB-CPX-101397
PDB-CPX-101400,PDB-CPX-101398
PDB-CPX-101400,PDB-CPX-101399
PDB-CPX-101427,PDB-CPX-101428
PDB-CPX-101444,PDB-CPX-101445
PDB-CPX-101618,PDB-CPX-101619
PDB-CPX-101622,PDB-CPX-101623
PDB-CPX-101624,PDB-CPX-100795
PDB-CPX-101624,PDB-CPX-101625
PDB-CPX-101624,PDB-CPX-101626
PDB-CPX-101624,PDB-CPX-101627
PDB-CPX-101639,PDB-CPX-101640
PDB-CPX-101641,PDB-CPX-101642
PDB-CPX-101643,PDB-CPX-101644
PDB-CPX-101656,PDB-CPX-101655
PDB-CPX-101755,PDB-CPX-101756
PDB-CPX-101782,PDB-CPX-101781
PDB-CPX-101861,PDB-CPX-101072
PDB-CPX-101968,PDB-CPX-101969
PDB-CPX-101979,PDB-CPX-101964
PDB-CPX-101979,PDB-CPX-101965
PDB-CPX-101979,PDB-CPX-101980
PDB-CPX-101980,PDB-CPX-101964
PDB-CPX-101980,PDB-CPX-101965
PDB-CPX-101988,PDB-CPX-101989
PDB-CPX-101999,PDB-CPX-102000
PDB-CPX-102004,PDB-CPX-102005
PDB-CPX-102056,PDB-CPX-102057
PDB-CPX-102056,PDB-CPX-102058
PDB-CPX-102077,PDB-CPX-102072
PDB-CPX-102077,PDB-CPX-102073
PDB-CPX-102077,PDB-CPX-102074
PDB-CPX-102077,PDB-CPX-102075
PDB-CPX-102077,PDB-CPX-102076
PDB-CPX-102080,PDB-CPX-102081
PDB-CPX-102080,PDB-CPX-102082
PDB-CPX-102083,PDB-CPX-102084
PDB-CPX-102145,PDB-CPX-102146
PDB-CPX-102178,PDB-CPX-102179
PDB-CPX-102178,PDB-CPX-102180
PDB-CPX-102213,PDB-CPX-102212
PDB-CPX-102359,PDB-CPX-102360
PDB-CPX-102364,PDB-CPX-102361
PDB-CPX-102364,PDB-CPX-102362
PDB-CPX-102390,PDB-CPX-102391
PDB-CPX-102442,PDB-CPX-102443
PDB-CPX-102532,PDB-CPX-102533
PDB-CPX-102578,PDB-CPX-102579
PDB-CPX-102578,PDB-CPX-102580
PDB-CPX-102578,PDB-CPX-102581
PDB-CPX-102578,PDB-CPX-102582
PDB-CPX-102578,PDB-CPX-102583
PDB-CPX-102578,PDB-CPX-102584
PDB-CPX-102578,PDB-CPX-102585
PDB-CPX-102658,PDB-CPX-102659
PDB-CPX-102658,PDB-CPX-102660
PDB-CPX-102660,PDB-CPX-102659
PDB-CPX-102671,PDB-CPX-102670
PDB-CPX-102672,PDB-CPX-102670
PDB-CPX-102672,PDB-CPX-102671
PDB-CPX-102705,PDB-CPX-102704
PDB-CPX-102736,PDB-CPX-102737
PDB-CPX-102811,PDB-CPX-102812
PDB-CPX-102811,PDB-CPX-102813
PDB-CPX-102816,PDB-CPX-102817
PDB-CPX-102816,PDB-CPX-102818
PDB-CPX-102862,PDB-CPX-102860
PDB-CPX-102862,PDB-CPX-102861
PDB-CPX-102872,PDB-CPX-102873
PDB-CPX-102872,PDB-CPX-102874
PDB-CPX-102872,PDB-CPX-102875
PDB-CPX-102921,PDB-CPX-102922
PDB-CPX-102925,PDB-CPX-102926
PDB-CPX-102934,PDB-CPX-102933
PDB-CPX-102935,PDB-CPX-102933
PDB-CPX-102935,PDB-CPX-102934
PDB-CPX-102973,PDB-CPX-102972
PDB-CPX-102974,PDB-CPX-102970
PDB-CPX-102974,PDB-CPX-102971
PDB-CPX-102979,PDB-CPX-102978
PDB-CPX-102980,PDB-CPX-102978
PDB-CPX-102980,PDB-CPX-102979
PDB-CPX-102982,PDB-CPX-102978
PDB-CPX-102982,PDB-CPX-102981
PDB-CPX-102982,PDB-CPX-102983
PDB-CPX-102982,PDB-CPX-102984
PDB-CPX-102987,PDB-CPX-102981
PDB-CPX-102989,PDB-CPX-102990
PDB-CPX-102989,PDB-CPX-102991
