PDB_COMPLEX_ID,ENTRY_ID,ASSEMBLY_ID,BOUND_MOLECULE_TYPE,TOTAL_CHAIN_COUNT
PDB-CPX-100003,7uvy,1,tRNA,1
PDB-CPX-100003,7uvy,1,mRNA,1
PDB-CPX-100004,7uvz,1,tRNA,1
PDB-CPX-100004,7uvz,1,mRNA,1
PDB-CPX-100006,7uvv,1,tRNA,1
PDB-CPX-100006,7uvv,1,mRNA,1
PDB-CPX-100007,7uvw,1,tRNA,1
PDB-CPX-100007,7uvw,1,mRNA,1
PDB-CPX-100008,7ryf,1,tRNA,1
PDB-CPX-100008,7ryf,1,mRNA,1
PDB-CPX-100009,7ryg,1,tRNA,1
PDB-CPX-100009,7ryg,1,mRNA,1
PDB-CPX-100011,7m4y,1,tRNA,1
PDB-CPX-100011,7m4y,1,mRNA,1
PDB-CPX-100014,7m4x,1,tRNA,1
PDB-CPX-100014,7m4x,1,mRNA,1
PDB-CPX-100019,6v39,1,tRNA,1
PDB-CPX-100019,6v39,1,mRNA,1
PDB-CPX-100020,6v3a,1,tRNA,1
PDB-CPX-100020,6v3a,1,mRNA,1
PDB-CPX-100063,8v5a,1,antibody,3
PDB-CPX-100063,8v5k,1,antibody,6
PDB-CPX-100063,8v62,1,antibody,6
PDB-CPX-100079,8cxi,1,antibody,4
PDB-CPX-100080,5kve,1,antibody,2
PDB-CPX-100080,6plk,1,antibody,2
PDB-CPX-100080,6plk,2,antibody,2
PDB-CPX-100080,7bsd,1,antibody,2
PDB-CPX-100080,7bsd,2,antibody,2
PDB-CPX-100080,7v2z,1,short RNA,1
PDB-CPX-100080,8ee5,1,antibody,2
PDB-CPX-100081,6lnt,1,antibody,240
PDB-CPX-100082,5h32,1,antibody,360
PDB-CPX-100082,5uhy,1,antibody,240
PDB-CPX-100082,5y0a,1,antibody,360
PDB-CPX-100082,9js7,1,antibody,240
PDB-CPX-100083,5h30,1,antibody,360
PDB-CPX-100083,5h37,1,antibody,360
PDB-CPX-100083,6jfi,1,antibody,240
PDB-CPX-100083,7bu8,1,antibody,360
PDB-CPX-100083,7bua,1,antibody,360
PDB-CPX-100083,7cbp,1,antibody,240
PDB-CPX-100083,7kcr,1,antibody,120
PDB-CPX-100083,7yar,1,antibody,360
PDB-CPX-100083,9js6,1,antibody,120
PDB-CPX-100084,6mid,1,antibody,60
PDB-CPX-100086,7t17,1,antibody,240
PDB-CPX-100087,5lbs,1,antibody,4
PDB-CPX-100087,5lbs,2,antibody,4
PDB-CPX-100087,5lcv,1,antibody,2
PDB-CPX-100087,6nip,1,antibody,4
PDB-CPX-100087,6niu,1,antibody,4
PDB-CPX-100087,6niu,2,antibody,4
PDB-CPX-100087,7a3n,1,antibody,4
PDB-CPX-100087,7a3u,1,antibody,4
PDB-CPX-100087,7bq5,1,antibody,4
PDB-CPX-100087,8eee,1,antibody,4
PDB-CPX-100088,7bpk,1,antibody,2
PDB-CPX-100089,6jfh,1,antibody,6
PDB-CPX-100090,8ee8,1,antibody,4
PDB-CPX-100090,8eed,1,antibody,8
PDB-CPX-100091,7c2t,1,antibody,120
PDB-CPX-100094,6ii4,1,antibody,6
PDB-CPX-100094,6ii4,2,antibody,6
PDB-CPX-100094,6ii8,1,antibody,6
PDB-CPX-100094,6ii9,1,antibody,6
PDB-CPX-100096,6lxj,1,antibody,8
PDB-CPX-100097,4r8w,1,antibody,6
PDB-CPX-100098,7z4o,1,short RNA,1
PDB-CPX-100098,7z4o,2,short RNA,1
PDB-CPX-100109,9g43,1,peptide,1
PDB-CPX-100109,9g8h,1,peptide,1
PDB-CPX-100112,9n11,1,short RNA,1
PDB-CPX-100113,9n07,1,short RNA,1
PDB-CPX-100114,6yst,1,tRNA,1
PDB-CPX-100114,6yst,1,mRNA,1
PDB-CPX-100115,6ysu,1,tRNA,1
PDB-CPX-100115,6ysu,1,short RNA,1
PDB-CPX-100116,6yss,1,tRNA,1
PDB-CPX-100116,6yss,1,mRNA,1
PDB-CPX-100124,7z12,1,antibody,2
PDB-CPX-100125,9hml,1,antibody,1
PDB-CPX-100137,8vpg,1,short DNA,2
PDB-CPX-100137,8vpg,2,short DNA,2
PDB-CPX-100137,8vpg,3,short DNA,2
PDB-CPX-100137,8vph,1,short DNA,2
PDB-CPX-100137,8vph,2,short DNA,2
PDB-CPX-100137,8vph,3,short DNA,2
PDB-CPX-100137,8vpi,1,short DNA,2
PDB-CPX-100137,8vpi,2,short DNA,2
PDB-CPX-100137,8vpi,3,short DNA,2
PDB-CPX-100140,9ax8,1,tRNA,1
PDB-CPX-100140,9ax8,1,mRNA,1
PDB-CPX-100141,6lkq,1,mRNA,1
PDB-CPX-100141,6lkq,1,peptide,5
PDB-CPX-100142,9ax7,1,tRNA,1
PDB-CPX-100142,9ax7,1,mRNA,1
PDB-CPX-100143,9cg5,1,tRNA,1
PDB-CPX-100143,9cg5,1,mRNA,1
PDB-CPX-100144,9cg6,1,tRNA,1
PDB-CPX-100144,9cg6,1,mRNA,1
PDB-CPX-100145,9cg7,1,tRNA,1
PDB-CPX-100145,9cg7,1,mRNA,1
PDB-CPX-100146,8vwq,1,tRNA,1
PDB-CPX-100146,8vwq,1,mRNA,1
PDB-CPX-100147,8vv4,1,tRNA,1
PDB-CPX-100147,8vv4,1,mRNA,1
PDB-CPX-100148,8vup,1,tRNA,1
PDB-CPX-100148,8vup,1,mRNA,1
PDB-CPX-100149,8ury,1,tRNA,2
PDB-CPX-100150,8upo,1,tRNA,2
PDB-CPX-100151,8upr,1,tRNA,2
PDB-CPX-100152,8uql,1,tRNA,2
PDB-CPX-100153,8uqm,1,tRNA,2
PDB-CPX-100154,8uqp,1,tRNA,2
PDB-CPX-100155,8ur0,1,tRNA,2
