ID,SYMMETRY
10gs_1,c2
117e_1,c2
11as_1,c2
11ba_1,c2
11bg_1,c2
11bg_2,d2
11gs_1,c2
121p_1,c2
12as_1,c2
12e8_1,c2
12e8_2,c2
12gs_1,c2
139l_2,c2
13gs_1,c2
14gs_1,c2
15c8_1,c2
16gs_1,c2
173d_1,c3
173d_2,c3
17gs_1,c2
18gs_1,c2
19gs_1,c2
19hc_1,c2
1a00_1,d2
1a01_1,d2
1a03_1,c2
1a05_1,c2
1a0a_1,c2
1a0c_1,d2
1a0d_1,d2
1a0e_1,d2
1a0f_1,c2
1a0g_1,c2
1a0h_1,c2
1a0j_2,d2
1a0l_1,d2
1a0m_1,c3
1a0s_1,c3
1a0t_1,c3
1a0u_1,d2
1a0z_1,d2
1a12_1,c3
1a14_1,c2
1a15_1,c2
1a16_1,d2
1a17_1,d2
1a17_2,c2
1a18_1,c2
1a19_1,c2
1a1r_3,c3
1a1s_1,t
1a1u_1,c3
1a1x_1,c2
1a22_2,c2
1a25_1,c2
1a27_1,c2
1a2d_1,c2
1a2n_1,c3
1a2v_1,d3
1a2w_1,c2
1a2y_1,c2
1a2z_1,d2
1a34_1,i
1a37_1,c2
1a38_1,c2
1a3a_1,c2
1a3a_2,c2
1a3c_1,c2
1a3d_1,c3
1a3f_1,c3
1a3g_1,d3
1a3i_1,c5
1a3n_1,d2
1a3o_1,d2
1a3q_1,c2
1a3w_1,d2
1a3x_1,d2
1a3x_2,c2
1a43_1,c2
1a45_1,c2
1a49_1,d2
1a49_2,d2
1a4b_1,c2
1a4c_1,c2
1a4c_2,c2
1a4e_1,d2
1a4f_1,d2
1a4g_1,c4
1a4h_1,c2
1a4i_1,c2
1a4j_1,c2
1a4j_2,c2
1a4o_1,c2
1a4o_2,c2
1a4p_1,d2
1a4p_2,d2
1a4q_1,c4
1a4r_1,c2
1a4s_1,d2
1a4u_1,c2
1a4x_1,c2
1a4y_1,c2
1a4z_1,d2
1a50_1,c2
1a52_1,c2
1a52_2,d2
1a52_3,d2
1a52_4,c2
1a59_1,c2
1a5a_1,c2
1a5b_1,c2
1a5c_1,d2
1a5f_1,c2
1a5k_1,c3
1a5l_1,c3
1a5m_1,c3
1a5n_1,c3
1a5o_1,c3
1a5s_1,c2
1a5t_1,c2
1a5u_1,d2
1a5u_2,d2
1a5v_1,c2
1a5v_2,c2
1a5w_1,c2
1a5x_1,c2
1a5z_1,d2
1a64_1,c2
1a68_1,c4
1a69_1,d3
1a6a_2,c2
1a6c_1,i
1a6d_1,d8
1a6d_2,c8
1a6e_1,d8
1a6e_2,c8
1a6f_2,c2
1a6i_1,c2
1a6j_1,c2
1a6p_1,c2
1a6r_1,d3
1a6u_1,c2
1a6v_1,c2
1a6v_2,c2
1a6v_3,c2
1a6w_1,c2
1a71_1,c2
1a72_1,c2
1a73_1,c2
1a74_1,c2
1a78_1,c2
1a79_1,c2
1a7a_1,d2
1a7b_1,d2
1a7b_2,c2
1a7b_3,c2
1a7f_1,c3
1a7g_1,c2
1a7j_2,d4
1a7j_3,c2
1a7k_1,d2
1a7l_4,c2
1a7n_1,c2
1a7o_1,c2
1a7p_1,c2
1a7q_1,c2
1a7r_1,c2
1a7w_1,c2
1a7x_1,c2
1a81_1,c3
1a81_2,c3
1a82_1,c2
1a88_1,c3
1a8g_1,c2
1a8i_1,c2
1a8k_1,c2
1a8k_2,c2
1a8l_1,c2
1a8l_2,c2
1a8m_1,c3
1a8o_1,c2
1a8q_2,c3
1a8r_1,d5
1a8r_2,d5
1a8s_2,t
1a8s_3,c3
1a8y_1,c2
1a92_1,d4
1a92_2,c2
1a92_3,c2
1a93_1,c3
1a94_1,c2
1a94_2,c2
